exp_time|process|stage|trial|role|step|score_0|score_1|choice_set|choice_bonus|initiation|destination|unit_bonus
16.215|grid_exercise|0|2|0|11|0|0|[(-4, 4), (0, 0), (-7, 7), (-6, 6), (-5, 5)]|(-7, 7)|(3, 3)|(3, 4)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (-7, 7), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
20.010|grid_exercise|0|2|1|4|7|0|[(-4, 4), (0, 0)]|(-4, 4)|(3, 4)|(3, 2)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (-4, 4), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
23.024|grid_exercise|0|2|0|0|7|4|[(0, 0)]|(0, 0)|(3, 2)|(3, 3)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
32.011|grid_exercise|0|2|1|11|4|4|[(-4, 4), (0, 0), (-7, 7), (-6, 6), (-5, 5)]|(-7, 7)|(3, 3)|(3, 6)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (-7, 7), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
37.067|grid_exercise|0|2|0|-1|0|7|END_OF_TRIAL|END_OF_TRIAL|(3, 6)|(-999, -999)|{(0, 0): (-7, 7), (0, 1): (-6, 6), (0, 2): (-5, 5), (0, 3): (-4, 4), (0, 4): (0, 0), (0, 5): (-4, 4), (0, 6): (0, 0), (1, 0): (0, 0), (1, 1): (0, 0), (1, 2): (-7, 7), (1, 3): (-4, 4), (1, 4): (0, 0), (1, 5): (-6, 6), (1, 6): (-5, 5), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-5, 5), (2, 3): (0, 0), (2, 4): (-7, 7), (2, 5): (-5, 5), (2, 6): (-7, 7), (3, 0): (-7, 7), (3, 1): (-5, 5), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (-6, 6), (3, 6): (0, 0), (4, 0): (0, 0), (4, 1): (-7, 7), (4, 2): (-7, 7), (4, 3): (0, 0), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (0, 0), (5, 0): (-6, 6), (5, 1): (0, 0), (5, 2): (-6, 6), (5, 3): (-6, 6), (5, 4): (0, 0), (5, 5): (0, 0), (5, 6): (-6, 6), (6, 0): (-6, 6), (6, 1): (-4, 4), (6, 2): (-5, 5), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (-4, 4), (6, 6): (0, 0)}
46.096|grid_exercise|0|1|1|11|0|0|[(-7, 7), (-6, 6), (-5, 5), (0, 0)]|(-7, 7)|(3, 3)|(6, 3)|{(0, 0): (-6, 6), (0, 1): (-6, 6), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (-4, 4), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (-4, 4), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (-5, 5), (4, 2): (-7, 7), (4, 3): (-6, 6), (4, 4): (-4, 4), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (-7, 7), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
49.897|grid_exercise|0|1|0|4|0|7|[(0, 0)]|(0, 0)|(6, 3)|(6, 4)|{(0, 0): (-6, 6), (0, 1): (-6, 6), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (-4, 4), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (-4, 4), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (-5, 5), (4, 2): (-7, 7), (4, 3): (-6, 6), (4, 4): (-4, 4), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
53.066|grid_exercise|0|1|1|11|-3|7|[(-4, 4), (-7, 7), (-6, 6), (0, 0)]|(-4, 4)|(6, 4)|(4, 4)|{(0, 0): (-6, 6), (0, 1): (-6, 6), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (-4, 4), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (-4, 4), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (-5, 5), (4, 2): (-7, 7), (4, 3): (-6, 6), (4, 4): (-4, 4), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
58.718|grid_exercise|0|1|0|7|-3|11|[(-4, 4), (0, 0), (-7, 7), (-6, 6), (-5, 5)]|(-7, 7)|(4, 4)|(4, 2)|{(0, 0): (-6, 6), (0, 1): (-6, 6), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (-4, 4), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (-4, 4), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (-5, 5), (4, 2): (-7, 7), (4, 3): (-6, 6), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
61.290|grid_exercise|0|1|1|0|4|11|[(0, 0)]|(0, 0)|(4, 2)|(4, 4)|{(0, 0): (-6, 6), (0, 1): (-6, 6), (0, 2): (-7, 7), (0, 3): (0, 0), (0, 4): (-4, 4), (0, 5): (0, 0), (0, 6): (-7, 7), (1, 0): (-4, 4), (1, 1): (-4, 4), (1, 2): (-5, 5), (1, 3): (0, 0), (1, 4): (-6, 6), (1, 5): (-6, 6), (1, 6): (0, 0), (2, 0): (0, 0), (2, 1): (0, 0), (2, 2): (-4, 4), (2, 3): (-5, 5), (2, 4): (0, 0), (2, 5): (0, 0), (2, 6): (-7, 7), (3, 0): (0, 0), (3, 1): (0, 0), (3, 2): (0, 0), (3, 3): (0, 0), (3, 4): (0, 0), (3, 5): (0, 0), (3, 6): (0, 0), (4, 0): (-7, 7), (4, 1): (-5, 5), (4, 2): (0, 0), (4, 3): (-6, 6), (4, 4): (0, 0), (4, 5): (-6, 6), (4, 6): (-5, 5), (5, 0): (-6, 6), (5, 1): (-5, 5), (5, 2): (-4, 4), (5, 3): (-5, 5), (5, 4): (0, 0), (5, 5): (-6, 6), (5, 6): (-6, 6), (6, 0): (-7, 7), (6, 1): (-7, 7), (6, 2): (-7, 7), (6, 3): (0, 0), (6, 4): (0, 0), (6, 5): (0, 0), (6, 6): (0, 0)}
