exp_num,disp_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trial_index,disp_stim,target_stim,sub_react,sub_RT,note
2,1440p_debug,null,null,null,2025-05-26_15:28:31,16.36873899999773,GO,0,0,d,Any,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:28:31,17.251090699981432,GO,0,1,d,Any,yes,0.1573111999896355,None
2,1440p_debug,null,null,null,2025-05-26_15:28:32,18.07917979999911,GO,0,2,d,Any,yes,0.10043519997270778,None
2,1440p_debug,null,null,null,2025-05-26_15:28:33,18.907752399973106,GO,0,3,b,Any,yes,0.09772649995284155,None
2,1440p_debug,null,null,null,2025-05-26_15:28:34,19.69871600001352,GO,0,4,d,Any,yes,0.06573179998667911,None
2,1440p_debug,null,null,null,2025-05-26_15:28:35,20.581644899968524,GO,0,5,b,Any,yes,0.1530293999821879,None
2,1440p_debug,null,null,null,2025-05-26_15:28:36,21.82201120001264,GO,0,6,d,Any,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:28:37,22.70830840000417,GO,0,7,b,Any,yes,0.16057740000542253,None
2,1440p_debug,null,null,null,2025-05-26_15:28:38,23.544984099979047,GO,0,8,d,Any,yes,0.11205739999422804,None
2,1440p_debug,null,null,null,2025-05-26_15:28:39,24.44015149999177,GO,0,9,b,Any,yes,0.16533650003839284,None
2,1440p_debug,null,null,null,2025-05-26_15:28:40,25.29082350002136,GO,0,10,b,Any,yes,0.12413299997569993,None
2,1440p_debug,null,null,null,2025-05-26_15:28:40,26.176750999991782,GO,0,11,b,Any,yes,0.15535519999684766,None
2,1440p_debug,null,null,null,2025-05-26_15:28:41,27.039022099983413,GO,0,12,b,Any,yes,0.13332530000479892,None
2,1440p_debug,null,null,null,2025-05-26_15:28:42,27.87689820001833,GO,0,13,d,Any,yes,0.11136560002341866,None
2,1440p_debug,null,null,null,2025-05-26_15:28:43,28.713898000016343,GO,0,14,d,Any,yes,0.1116776000126265,None
2,1440p_debug,null,null,null,2025-05-26_15:28:44,29.569147899979725,GO,0,15,b,Any,yes,0.12495409999974072,None
2,1440p_debug,null,null,null,2025-05-26_15:28:45,30.442688499984797,GO,0,16,b,Any,yes,0.1426915999618359,None
2,1440p_debug,null,null,null,2025-05-26_15:28:45,31.283453000010923,GO,0,17,d,Any,yes,0.11212780000641942,None
2,1440p_debug,null,null,null,2025-05-26_15:28:46,32.14857730001677,GO,0,18,d,Any,yes,0.134724700008519,None
2,1440p_debug,null,null,null,2025-05-26_15:28:47,33.06782050000038,GO,0,19,b,Any,yes,0.19329889997607097,None
2,1440p_debug,null,null,null,2025-05-26_15:28:48,33.90504510002211,GO,0,20,b,Any,yes,0.10976240003947169,None
2,1440p_debug,null,null,null,2025-05-26_15:28:49,34.786172799998894,GO,0,21,d,Any,yes,0.15468430001055822,None
2,1440p_debug,null,null,null,2025-05-26_15:28:50,35.62609139998676,GO,0,22,d,Any,yes,0.10960129997693002,None
2,1440p_debug,null,null,null,2025-05-26_15:28:51,36.46505389997037,GO,0,23,b,Any,yes,0.1124652000144124,None
2,1440p_debug,null,null,null,2025-05-26_15:29:04,50.03491139999824,GNG,0,0,p,p,yes,0.392038100049831,None
2,1440p_debug,null,null,null,2025-05-26_15:29:05,51.27951630001189,GNG,0,1,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:07,52.50874229997862,GNG,0,2,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:08,53.74695250001969,GNG,0,3,p,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:09,54.88196289999178,GNG,0,4,p,p,yes,0.4033272999804467,None
2,1440p_debug,null,null,null,2025-05-26_15:29:10,56.10902919998625,GNG,0,5,p,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:12,57.33754279999994,GNG,0,6,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:13,58.404303700022865,GNG,0,7,p,p,yes,0.33847650000825524,None
2,1440p_debug,null,null,null,2025-05-26_15:29:14,59.63529509998625,GNG,0,8,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:15,60.870512199995574,GNG,0,9,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:16,62.1051795000094,GNG,0,10,p,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:18,63.33971849997761,GNG,0,11,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:19,64.57493080000859,GNG,0,12,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:20,65.8124347999692,GNG,0,13,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:21,66.90646359999664,GNG,0,14,p,p,yes,0.3624817000236362,None
2,1440p_debug,null,null,null,2025-05-26_15:29:22,68.10160029999679,GNG,0,15,p,p,yes,0.4643678999855183,None
2,1440p_debug,null,null,null,2025-05-26_15:29:24,69.33160289999796,GNG,0,16,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:25,70.48567219998222,GNG,0,17,q,p,yes,0.4266310000093654,None
2,1440p_debug,null,null,null,2025-05-26_15:29:26,71.57599550002487,GNG,0,18,p,p,yes,0.3596454000216909,None
2,1440p_debug,null,null,null,2025-05-26_15:29:27,72.8102293999982,GNG,0,19,p,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:28,73.92036410002038,GNG,0,20,q,p,yes,0.38315539999166504,None
2,1440p_debug,null,null,null,2025-05-26_15:29:29,74.84027059999062,GNG,0,21,p,p,yes,0.19309409998822957,None
2,1440p_debug,null,null,null,2025-05-26_15:29:30,76.06831300002523,GNG,0,22,q,p,no,None,None
2,1440p_debug,null,null,null,2025-05-26_15:29:32,77.30011309997644,GNG,0,23,p,p,no,None,None
