sys_time,exp_time,exp_num,exp_cfg_A,exp_cfg_B,exp_cfg_C,launch_mode,gender_sub1,age_sub1,gender_sub2,age_sub2,process,stage,trial,init_step,init_role,gone_step,score_0,score_1,#redeem,#wasted,waste_step,#contribution_0, #contribution_1,duration,current_role,choice,notes
2024-10-30_16:30:28,5.900,581,1,1,1,test,Female,0,Female,0,overture,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,null
2024-10-30_16:30:56,26.892,581,1,1,1,test,Female,0,Female,0,grid_exercise_1,0,110,11,0,2,4,4,0,1,1,0,0,20.835,-1,null,null
2024-10-30_16:31:16,47.031,581,1,1,1,test,Female,0,Female,0,grid_exercise_1,0,111,11,1,2,4,4,0,1,1,0,0,15.801,-1,null,null
2024-10-30_16:32:18,109.272,581,1,1,1,test,Female,0,Female,0,grid_exercise_2,0,120,2,0,3,-2,1,1,2,5,1,0,55.194,-1,null,null
2024-10-30_16:32:37,128.215,581,1,1,1,test,Female,0,Female,0,grid_exercise_2,0,121,2,1,3,1,-2,1,2,5,0,1,14.617,-1,null,null
2024-10-30_16:33:39,189.984,581,1,1,1,test,Female,0,Female,0,grid_exercise_3,0,130,11,0,0,-11,-11,0,1,11,0,0,54.431,-1,null,null
2024-10-30_16:34:04,215.006,581,1,1,1,test,Female,0,Female,0,grid_1,1,11,11,1,1,-4,3,0,1,4,0,0,16.190,-1,null,null
2024-10-30_16:35:59,330.462,581,1,1,1,test,Female,0,Female,0,grid_1,1,8,11,0,16,17,-15,6,3,20,2,4,111.022,-1,null,null
2024-10-30_16:36:11,342.280,581,1,1,1,test,Female,0,Female,0,grid_1,1,9,11,1,0,-11,-11,0,1,11,0,0,7.399,-1,null,null
2024-10-30_16:36:19,349.896,581,1,1,1,test,Female,0,Female,0,grid_1,1,10,11,0,0,-11,-11,0,1,11,0,0,3.192,-1,null,null
2024-10-30_16:36:36,366.963,581,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_16:36:36,367.505,581,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_16:36:38,369.464,581,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_16:36:39,369.898,581,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
