sys_time,exp_time,exp_num,exp_cfg_A,exp_cfg_B,exp_cfg_C,launch_mode,gender_sub1,age_sub1,gender_sub2,age_sub2,process,stage,trial,init_step,init_role,gone_step,score_0,score_1,#redeem,#wasted,waste_step,#contribution_0, #contribution_1,duration,current_role,choice,notes
2024-10-30_14:58:38,1.008,575,1,1,1,test,Female,0,Female,0,overture,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,null
2024-10-30_14:59:15,37.067,575,1,1,1,test,Female,0,Female,0,grid_exercise,0,2,11,0,4,0,7,1,1,4,1,0,26.224,-1,null,null
2024-10-30_14:59:50,71.631,575,1,1,1,test,Female,0,Female,0,grid_exercise,0,1,11,1,7,10,12,2,1,4,1,1,30.147,-1,null,null
2024-10-30_15:00:14,95.222,575,1,1,1,test,Female,0,Female,0,grid_exercise,0,3,11,1,5,8,11,1,0,0,0,1,19.159,-1,null,null
2024-10-30_15:00:42,123.663,575,1,1,1,test,Female,0,Female,0,grid_exercise,0,0,11,0,8,14,12,2,0,0,1,1,24.010,-1,null,null
2024-10-30_15:01:00,141.833,575,1,1,1,test,Female,0,Female,0,grid_1,1,9,11,1,2,4,7,0,0,0,0,0,8.777,-1,null,null
2024-10-30_15:01:08,149.262,575,1,1,1,test,Female,0,Female,0,grid_1,1,8,11,0,0,-11,-11,0,1,11,0,0,3.005,-1,null,null
2024-10-30_15:01:33,174.321,575,1,1,1,test,Female,0,Female,0,grid_1,1,10,11,0,5,7,9,1,1,1,1,0,20.640,-1,null,null
2024-10-30_15:01:50,191.745,575,1,1,1,test,Female,0,Female,0,grid_1,1,11,11,1,2,4,7,0,0,0,0,0,13.016,-1,null,null
2024-10-30_15:02:07,208.229,575,1,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_15:02:07,209.150,575,1,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_15:02:10,211.167,575,1,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_15:02:11,212.284,575,1,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_15:02:13,214.969,575,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_15:02:16,217.988,575,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_15:02:18,220.123,575,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_15:02:20,221.398,575,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_15:02:20,221.417,575,1,1,1,test,Female,0,Female,0,STAGE_opinion,1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,16.844,-1,null,null
2024-10-30_15:02:32,233.286,575,1,1,1,test,Female,0,Female,0,null,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,Coincidence situation occurred.
