sys_time,exp_time,exp_num,exp_cfg_A,exp_cfg_B,exp_cfg_C,launch_mode,gender_sub1,age_sub1,gender_sub2,age_sub2,process,stage,trial,init_step,init_role,gone_step,score_0,score_1,#redeem,#wasted,waste_step,#contribution_0, #contribution_1,duration,current_role,choice,notes
2024-10-31_14:37:02,2.519,590,2,1,1,test,Female,0,Female,0,overture,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,null
2024-10-31_14:39:07,123.945,590,2,1,1,test,Female,0,Female,0,grid_exercise_1,0,110,11,0,2,5,5,0,1,1,0,0,42.789,-1,null,null
2024-10-31_14:39:42,158.985,590,2,1,1,test,Female,0,Female,0,grid_exercise_1,0,111,11,1,2,4,6,0,1,1,0,0,30.695,-1,null,null
2024-10-31_14:41:25,262.382,590,2,1,1,test,Female,0,Female,0,grid_exercise_2,0,120,2,0,6,8,7,2,1,2,1,1,38.074,-1,null,null
2024-10-31_14:41:57,293.838,590,2,1,1,test,Female,0,Female,0,grid_exercise_2,0,121,2,0,7,3,7,3,3,13,2,1,27.102,-1,null,null
2024-10-31_14:42:54,351.064,590,2,1,1,test,Female,0,Female,0,grid_exercise_3,0,130,11,0,12,22,6,4,2,9,1,3,41.309,-1,null,null
2024-10-31_14:43:50,407.074,590,2,1,1,test,Female,0,Female,0,grid_1,1,8,11,0,13,18,15,4,1,4,2,2,43.334,-1,null,null
2024-10-31_14:44:29,445.559,590,2,1,1,test,Female,0,Female,0,grid_1,1,11,11,1,8,12,14,2,0,0,1,1,34.029,-1,null,null
2024-10-31_14:44:48,465.136,590,2,1,1,test,Female,0,Female,0,grid_1,1,10,11,0,5,8,11,1,0,0,1,0,15.078,-1,null,null
2024-10-31_14:45:24,500.647,590,2,1,1,test,Female,0,Female,0,grid_1,1,9,11,1,11,17,14,3,1,1,1,2,31.078,-1,null,null
2024-10-31_14:45:39,516.419,590,2,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-31_14:45:42,518.785,590,2,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
