sys_time,exp_time,exp_num,exp_cfg_A,exp_cfg_B,exp_cfg_C,launch_mode,gender_sub1,age_sub1,gender_sub2,age_sub2,process,stage,trial,init_step,init_role,gone_step,score_0,score_1,#redeem,#wasted,waste_step,#contribution_0, #contribution_1,duration,current_role,choice,notes
2024-10-30_15:07:46,1.240,576,1,1,1,test,Female,0,Female,0,overture,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,null
2024-10-30_15:08:24,38.152,576,1,1,1,test,Female,0,Female,0,grid_exercise,0,101,11,0,10,20,8,3,1,4,1,2,33.422,-1,null,null
2024-10-30_15:08:37,51.295,576,1,1,1,test,Female,0,Female,0,grid_exercise,0,102,11,1,2,4,7,0,0,0,0,0,8.699,-1,null,null
2024-10-30_15:09:01,75.106,576,1,1,1,test,Female,0,Female,0,grid_1,1,9,11,1,5,11,8,1,0,0,0,1,14.756,-1,null,null
2024-10-30_15:09:25,99.303,576,1,1,1,test,Female,0,Female,0,grid_1,1,8,11,0,7,13,9,2,1,4,1,1,19.753,-1,null,null
2024-10-30_15:09:35,109.207,576,1,1,1,test,Female,0,Female,0,grid_1,1,10,11,0,1,3,-4,0,1,4,0,0,5.491,-1,null,null
2024-10-30_15:10:15,149.057,576,1,1,1,test,Female,0,Female,0,grid_1,1,11,11,1,8,11,15,2,0,0,1,1,35.373,-1,null,null
2024-10-30_15:10:37,171.282,576,1,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_15:10:38,172.062,576,1,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_15:10:40,173.939,576,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_15:10:41,174.517,576,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_15:10:42,176.190,576,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_15:10:43,176.861,576,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_15:10:46,179.505,576,1,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_15:10:46,180.075,576,1,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_15:10:46,180.104,576,1,1,1,test,Female,0,Female,0,STAGE_opinion,1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,11.636,-1,null,null
2024-10-30_15:10:57,190.660,576,1,1,1,test,Female,0,Female,0,STAGE_discussion,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,TOPIC/SAME: 在购买大件商品前，我有观看产品测评的习惯。
2024-10-30_15:11:11,204.489,576,1,1,1,test,Female,0,Female,0,opinion_choice,2,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_15:11:11,205.221,576,1,1,1,test,Female,0,Female,0,opinion_choice,2,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_15:11:14,208.160,576,1,1,1,test,Female,0,Female,0,opinion_choice,2,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_15:11:15,208.709,576,1,1,1,test,Female,0,Female,0,opinion_choice,2,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_15:11:17,210.719,576,1,1,1,test,Female,0,Female,0,opinion_choice,2,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_15:11:18,211.435,576,1,1,1,test,Female,0,Female,0,opinion_choice,2,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_15:11:19,213.249,576,1,1,1,test,Female,0,Female,0,opinion_choice,2,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_15:11:20,213.808,576,1,1,1,test,Female,0,Female,0,opinion_choice,2,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_15:11:20,213.830,576,1,1,1,test,Female,0,Female,0,STAGE_opinion,2,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,12.709,-1,null,null
2024-10-30_15:11:30,224.146,576,1,1,1,test,Female,0,Female,0,null,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,Coincidence situation occurred.
2024-10-30_15:11:45,238.595,576,1,1,1,test,Female,0,Female,0,opinion_choice,3,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_15:11:46,239.550,576,1,1,1,test,Female,0,Female,0,opinion_choice,3,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_15:11:48,241.955,576,1,1,1,test,Female,0,Female,0,opinion_choice,3,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_15:11:49,242.618,576,1,1,1,test,Female,0,Female,0,opinion_choice,3,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_15:11:51,244.427,576,1,1,1,test,Female,0,Female,0,opinion_choice,3,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_15:11:51,245.159,576,1,1,1,test,Female,0,Female,0,opinion_choice,3,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_15:11:53,247.028,576,1,1,1,test,Female,0,Female,0,opinion_choice,3,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
