sys_time,exp_time,exp_num,exp_cfg_A,exp_cfg_B,exp_cfg_C,launch_mode,gender_sub1,age_sub1,gender_sub2,age_sub2,process,stage,trial,init_step,init_role,gone_step,score_0,score_1,#redeem,#wasted,waste_step,#contribution_0, #contribution_1,duration,current_role,choice,notes
2024-10-30_14:30:38,5.917,574,2,1,1,test,Female,0,Female,0,overture,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,null
2024-10-30_14:31:36,58.058,574,2,1,1,test,Female,0,Female,0,grid_exercise,0,0,11,0,11,17,12,3,1,1,2,1,51.847,-1,null,null
2024-10-30_14:32:32,113.854,574,2,1,1,test,Female,0,Female,0,grid_exercise,0,2,11,0,13,20,1,5,4,20,2,3,51.365,-1,null,null
2024-10-30_14:33:16,157.749,574,2,1,1,test,Female,0,Female,0,grid_exercise,0,3,11,1,10,5,22,3,2,5,2,1,39.445,-1,null,null
2024-10-30_14:34:17,218.636,574,2,1,1,test,Female,0,Female,0,grid_exercise,0,1,11,1,13,13,20,4,1,4,2,2,56.449,-1,null,null
2024-10-30_14:35:16,277.457,574,2,1,1,test,Female,0,Female,0,grid_1,1,8,11,0,12,12,9,4,2,8,2,2,49.536,-1,null,null
2024-10-30_14:36:21,343.129,574,2,1,1,test,Female,0,Female,0,grid_1,1,11,11,1,14,15,22,4,0,0,2,2,61.245,-1,null,null
2024-10-30_14:36:46,367.631,574,2,1,1,test,Female,0,Female,0,grid_1,1,10,11,0,5,9,10,1,0,0,1,0,20.063,-1,null,null
2024-10-30_14:37:19,401.191,574,2,1,1,test,Female,0,Female,0,grid_1,1,9,11,1,7,2,9,2,1,5,1,1,29.113,-1,null,null
2024-10-30_14:37:37,419.144,574,2,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_14:37:38,419.430,574,2,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_14:37:40,421.920,574,2,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_14:37:40,422.220,574,2,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
