sys_time,exp_time,exp_num,exp_cfg_A,exp_cfg_B,exp_cfg_C,launch_mode,gender_sub1,age_sub1,gender_sub2,age_sub2,process,stage,trial,init_step,init_role,gone_step,score_0,score_1,#redeem,#wasted,waste_step,#contribution_0, #contribution_1,duration,current_role,choice,notes
2024-10-30_16:51:11,1.608,582,1,1,1,test,Female,0,Female,0,overture,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,null
2024-10-30_16:51:37,25.990,582,1,1,1,test,Female,0,Female,0,grid_exercise_1,0,110,11,0,2,4,4,0,1,1,0,0,19.528,-1,null,null
2024-10-30_16:51:54,42.240,582,1,1,1,test,Female,0,Female,0,grid_exercise_1,0,111,11,1,2,4,4,0,1,1,0,0,11.904,-1,null,null
2024-10-30_16:52:40,88.842,582,1,1,1,test,Female,0,Female,0,grid_exercise_2,0,120,2,0,3,-2,1,1,2,5,1,0,42.244,-1,null,null
2024-10-30_16:53:03,112.046,582,1,1,1,test,Female,0,Female,0,grid_exercise_2,0,121,2,1,3,1,-2,1,2,5,0,1,18.865,-1,null,null
2024-10-30_16:53:24,132.728,582,1,1,1,test,Female,0,Female,0,grid_exercise_3,0,130,11,0,2,5,6,0,0,0,0,0,16.261,-1,null,null
2024-10-30_16:53:38,147.112,582,1,1,1,test,Female,0,Female,0,grid_1,1,10,11,0,1,3,-4,0,1,4,0,0,7.486,-1,null,null
2024-10-30_16:53:45,153.443,582,1,1,1,test,Female,0,Female,0,grid_1,1,9,11,1,0,-11,-11,0,1,11,0,0,1.894,-1,null,null
2024-10-30_16:54:02,170.680,582,1,1,1,test,Female,0,Female,0,grid_1,1,11,11,1,4,6,-2,1,1,5,0,1,12.811,-1,null,null
2024-10-30_16:54:11,179.390,582,1,1,1,test,Female,0,Female,0,grid_1,1,8,11,0,0,-11,-11,0,1,11,0,0,4.285,-1,null,null
2024-10-30_16:54:27,195.525,582,1,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_16:54:27,196.115,582,1,1,1,test,Female,0,Female,0,opinion_choice,1,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_16:54:29,197.947,582,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_16:54:30,198.412,582,1,1,1,test,Female,0,Female,0,opinion_choice,1,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_16:54:32,200.345,582,1,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_16:54:32,200.673,582,1,1,1,test,Female,0,Female,0,opinion_choice,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_16:54:34,202.564,582,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_16:54:34,202.867,582,1,1,1,test,Female,0,Female,0,opinion_choice,1,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_16:54:34,202.889,582,1,1,1,test,Female,0,Female,0,STAGE_opinion,1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,9.371,-1,null,null
2024-10-30_16:54:44,212.723,582,1,1,1,test,Female,0,Female,0,STAGE_discussion,1,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,TOPIC/SAME: 在购买大件商品前，我有观看产品测评的习惯。
2024-10-30_16:54:59,227.414,582,1,1,1,test,Female,0,Female,0,opinion_choice,2,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_16:54:59,227.801,582,1,1,1,test,Female,0,Female,0,opinion_choice,2,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_16:55:01,229.832,582,1,1,1,test,Female,0,Female,0,opinion_choice,2,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_16:55:01,230.126,582,1,1,1,test,Female,0,Female,0,opinion_choice,2,3,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_16:55:04,232.289,582,1,1,1,test,Female,0,Female,0,opinion_choice,2,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
2024-10-30_16:55:04,232.597,582,1,1,1,test,Female,0,Female,0,opinion_choice,2,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,B,null
2024-10-30_16:55:09,237.232,582,1,1,1,test,Female,0,Female,0,opinion_choice,2,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,1,X,null
2024-10-30_16:55:09,238.031,582,1,1,1,test,Female,0,Female,0,opinion_choice,2,0,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,B,null
2024-10-30_16:55:09,238.060,582,1,1,1,test,Female,0,Female,0,STAGE_opinion,2,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,12.995,-1,null,null
2024-10-30_16:55:19,247.985,582,1,1,1,test,Female,0,Female,0,STAGE_discussion,2,2,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,-1,null,TOPIC/SAME: 我认为吃苦耐劳是一种优秀品质。
2024-10-30_16:55:37,265.724,582,1,1,1,test,Female,0,Female,0,opinion_choice,3,1,-1,-1,-1,-999,-999,-999,-999,-999,-999,-999,-1.000,0,X,null
