exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
54,1440p_debug,1,1,1,2025-01-11_15:01:46,11.953943699598312,solo_SD,1,0,9.06175719993189,0,1,1,5,3,null,null,null,null
54,1440p_debug,1,1,1,2025-01-11_15:01:55,20.21880659973249,solo_SD,1,1,8.264357800129801,1,1,1,3,4,null,null,null,null
54,1440p_debug,1,1,1,2025-01-11_15:02:02,27.412064999807626,solo_SD,1,2,7.192834299989045,1,1,1,3,6,null,null,null,null
54,1440p_debug,1,1,1,2025-01-11_15:02:09,34.0418095998466,solo_SD,1,3,6.6291143000125885,0,0,0,-3,-3,null,null,null,null
54,1440p_debug,1,1,1,2025-01-11_15:02:16,41.97630839981139,solo_SD,1,4,7.934073900338262,1,0,0,-3,-3,null,null,null,null
54,1440p_debug,1,1,1,2025-01-11_15:02:25,50.75062029995024,solo_SD,1,5,8.773959200363606,0,1,1,3,1,null,null,null,null
54,1440p_debug,1,1,1,2025-01-11_15:02:47,72.69698139978573,dual_SD,2,0,18.48813630035147,0,1,1,1,1,1,0,0,null
