exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
59,1440p_flscr,1,1,1,2025-01-13_15:01:28,36.78534049999871,solo_SD,0,0,10.154003899999225,0,0,0,-4,-3,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:01:36,45.51122509999914,solo_SD,0,1,8.725420999999187,0,1,1,2,3,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:01:44,53.41998220000096,solo_SD,0,2,7.908310300001176,1,1,1,3,3,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:01:53,61.97819159999926,solo_SD,0,3,8.557589000000007,1,0,1,-2,1,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:02:07,76.24908729999879,solo_SD,1,0,7.987785900000745,0,0,0,-4,-3,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:02:15,84.07997429999887,solo_SD,1,1,7.830487600000197,1,1,1,2,2,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:02:23,92.08421689999886,solo_SD,1,2,8.003872699999192,0,0,1,-5,3,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:02:31,99.90093160000106,solo_SD,1,3,7.816330400000879,0,0,1,-5,3,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:02:39,108.56674610000118,solo_SD,1,4,8.665404999999737,1,1,1,4,2,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:02:48,116.75045599999794,solo_SD,1,5,8.18335709999883,1,0,1,-4,2,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:02:56,125.43055299999833,solo_SD,1,6,8.679680299999745,1,1,1,2,5,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:03:03,132.63359219999984,solo_SD,1,7,7.202651899999182,1,0,0,-3,-2,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:03:13,142.24334190000081,solo_SD,1,8,9.609378999997716,0,0,0,-6,-5,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:03:22,151.16480020000017,solo_SD,1,9,8.921099799998046,0,0,1,-1,2,null,null,null,null
59,1440p_flscr,1,1,1,2025-01-13_15:04:35,224.0146433000009,dual_SD,2,0,20.687099700000545,1,0,1,-4,2,0,0,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:04:50,238.90247620000082,dual_SD,2,1,14.887480500001402,1,1,1,1,4,1,0,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:05:05,254.59302469999966,dual_SD,2,2,15.690075800001068,0,0,1,-1,4,0,0,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:05:19,268.12557899999956,dual_SD,2,3,13.53213340000002,0,0,1,-3,1,0,0,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:05:35,283.93766459999824,dual_SD,2,4,15.811725899999146,1,0,1,-5,2,1,1,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:05:51,299.97843379999904,dual_SD,2,5,16.040401700000075,1,0,1,-5,4,1,1,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:06:06,315.0485211999985,dual_SD,2,6,15.069708300001366,0,0,0,-1,-3,0,0,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:06:26,335.27338299999974,dual_SD,2,7,20.224493599998823,0,1,0,5,-2,0,0,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:06:39,347.83873089999906,dual_SD,2,8,12.56495730000097,1,0,0,-1,-1,0,0,0,null
59,1440p_flscr,1,1,1,2025-01-13_15:06:53,362.20311199999924,dual_SD,2,9,14.364037299998017,0,0,1,-6,3,0,1,0,null
