exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
52,1440p_debug,1,1,1,2025-01-11_14:52:41,14.796374199911952,solo_SD,1,0,11.273348699789494,0,0,0,-3,-5,null,null,null,null
52,1440p_debug,1,1,1,2025-01-11_14:52:49,22.952243799809366,solo_SD,1,1,8.155492899939418,0,1,1,1,4,null,null,null,null
52,1440p_debug,1,1,1,2025-01-11_14:52:58,31.006028099916875,solo_SD,1,2,8.053385499864817,0,0,0,-3,-6,null,null,null,null
52,1440p_debug,1,1,1,2025-01-11_14:53:05,38.04200939973816,solo_SD,1,3,7.03547739982605,0,1,1,1,5,null,null,null,null
52,1440p_debug,1,1,1,2025-01-11_14:53:12,45.465559099800885,solo_SD,1,4,7.423133399803191,1,1,1,1,3,null,null,null,null
52,1440p_debug,1,1,1,2025-01-11_14:53:21,54.858601099811494,solo_SD,1,5,9.392655999865383,0,0,1,-1,3,null,null,null,null
52,1440p_debug,1,1,1,2025-01-11_14:53:29,62.762437999714166,solo_SD,1,6,7.903468899894506,1,1,1,1,4,null,null,null,null
52,1440p_debug,1,1,1,2025-01-11_14:53:38,71.02693359972909,solo_SD,1,7,8.26406960003078,1,1,1,2,5,null,null,null,null
