exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
44,1440p_debug,1,1,1,2025-01-10_15:53:49,14.934674699790776,solo_SD,1,0,11.661535199731588,1,1,1,5,1,null,null,null,null
44,1440p_debug,1,1,1,2025-01-10_15:53:58,24.018338500056416,solo_SD,1,1,9.083272499963641,1,0,0,-3,-4,null,null,null,null
44,1440p_debug,1,1,1,2025-01-10_15:54:07,32.95707269990817,solo_SD,1,2,8.938331800047308,0,0,0,-2,-4,null,null,null,null
44,1440p_debug,1,1,1,2025-01-10_15:54:14,39.793307499960065,solo_SD,1,3,6.835635199677199,0,0,0,-1,-1,null,null,null,null
44,1440p_debug,1,1,1,2025-01-10_15:54:21,47.26497850008309,solo_SD,1,4,7.471289800014347,0,0,0,-3,-1,null,null,null,null
44,1440p_debug,1,1,1,2025-01-10_15:54:29,54.73096590023488,solo_SD,1,5,7.46563269989565,1,1,1,2,4,null,null,null,null
44,1440p_debug,1,1,1,2025-01-10_15:54:52,78.17980440007523,dual_SD,2,0,15.7111109001562,1,0,1,-2,2,1,1,0,null
44,1440p_debug,1,1,1,2025-01-10_15:55:03,89.36150790005922,dual_SD,2,1,11.181336199864745,0,0,0,-2,-2,0,1,0,null
44,1440p_debug,1,1,1,2025-01-10_15:55:15,101.44574559992179,dual_SD,2,2,12.083860300015658,0,0,0,-2,-4,0,1,0,null
44,1440p_debug,1,1,1,2025-01-10_15:55:27,113.31081800023094,dual_SD,2,3,11.86458420008421,0,0,0,-2,-3,0,1,0,null
44,1440p_debug,1,1,1,2025-01-10_15:55:39,124.94308209978044,dual_SD,2,4,11.63180929981172,1,1,1,1,1,1,1,0,null
44,1440p_debug,1,1,1,2025-01-10_15:55:55,140.50653229979798,dual_SD,2,5,15.562950700055808,1,1,0,4,-3,0,1,0,null
