exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
38,1440p_debug,1,1,1,2025-01-09_20:17:27,17.773184400051832,solo_SD,1,0,15.267114999704063,0,0,0,-6,-5,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:17:45,35.468615600373596,solo_SD,1,1,17.69508060021326,1,1,1,4,3,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:17:58,48.13416610006243,solo_SD,1,2,12.66513860039413,1,1,0,3,-5,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:18:09,59.10472760023549,solo_SD,1,3,10.969857400283217,0,0,0,-6,-6,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:18:19,69.5140561000444,solo_SD,1,4,10.408977000042796,0,0,0,-6,-6,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:18:29,79.81020220043138,solo_SD,1,5,10.295774600002915,0,0,1,-5,1,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:18:40,90.6456607002765,solo_SD,1,6,10.835041699931026,1,1,1,6,5,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:18:55,105.76673490041867,solo_SD,1,7,15.120715000201017,1,1,0,1,-3,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:19:06,116.9705537003465,solo_SD,1,8,11.203441900201142,1,1,1,4,6,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:19:19,129.37696360005066,solo_SD,1,9,12.406015399843454,1,1,1,4,5,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:19:29,139.81206920044497,solo_SD,1,10,10.434706600382924,0,0,1,-6,6,null,null,null,null
38,1440p_debug,1,1,1,2025-01-09_20:19:40,150.74364220025018,solo_SD,1,11,10.931199599988759,1,1,1,5,6,null,null,null,null
