exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
57,1440p_debug,1,1,1,2025-01-11_19:59:41,41.807341900188476,solo_SD,0,0,9.214717399794608,1,1,0,2,-2,null,null,null,null
57,1440p_debug,1,1,1,2025-01-11_19:59:50,50.766477200202644,solo_SD,0,1,8.95869220001623,0,1,1,3,5,null,null,null,null
57,1440p_debug,1,1,1,2025-01-11_19:59:58,58.218178800307214,solo_SD,0,2,7.451337799895555,0,0,0,-5,-5,null,null,null,null
57,1440p_debug,1,1,1,2025-01-11_20:00:05,65.58732600044459,solo_SD,0,3,7.368687100242823,1,1,1,2,4,null,null,null,null
