exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,block_index,trail_index,duration,actual_stim,choice_0,choice_1,confidence_0,confidence_1,choice_dual,choice_role,harder_role,note
58,1440p_flscr,1,1,1,2025-01-13_14:46:11,32.678798600001755,solo_SD,0,0,11.438829099999566,0,0,1,-3,3,null,null,null,null
58,1440p_flscr,1,1,1,2025-01-13_14:46:21,43.13581189999968,solo_SD,0,1,10.456630900000164,1,0,1,-4,3,null,null,null,null
58,1440p_flscr,1,1,1,2025-01-13_14:46:32,54.00956249999945,solo_SD,0,2,10.873399000000063,0,0,0,-6,-4,null,null,null,null
58,1440p_flscr,1,1,1,2025-01-13_14:46:42,63.30590940000184,solo_SD,0,3,9.295737600001303,1,1,1,1,3,null,null,null,null
58,1440p_flscr,1,1,1,2025-01-13_14:46:57,78.97509160000118,solo_SD,1,0,11.066636300001846,0,1,1,4,2,null,null,null,null
58,1440p_flscr,1,1,1,2025-01-13_14:47:04,86.18029460000253,solo_SD,1,1,7.2047485999974015,0,0,0,-3,-1,null,null,null,null
58,1440p_flscr,1,1,1,2025-01-13_14:47:15,96.29660990000048,solo_SD,1,2,10.115925800000696,1,1,1,6,6,null,null,null,null
58,1440p_flscr,1,1,1,2025-01-13_14:47:21,102.98731810000027,solo_SD,1,3,6.690358500000002,1,0,1,-3,1,null,null,null,null
58,1440p_flscr,1,1,1,2025-01-13_14:48:03,145.0713706000024,dual_SD,2,0,15.382537200002844,1,0,1,-2,3,1,1,0,null
58,1440p_flscr,1,1,1,2025-01-13_14:48:18,159.35175460000028,dual_SD,2,1,14.280022300001292,0,0,1,-4,2,0,0,0,null
58,1440p_flscr,1,1,1,2025-01-13_14:48:32,174.09305440000026,dual_SD,2,2,14.74092589999782,0,1,1,4,3,1,0,0,null
58,1440p_flscr,1,1,1,2025-01-13_14:48:47,188.34549590000097,dual_SD,2,3,14.252082000002702,1,0,0,-3,-1,0,0,0,null
