exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
50,1440p_flscr,1,null,null,2025-03-27_19:34:51,435.85551359999226,formal_neutral,neutral,1,32,16,0.75,2.4995360000175424,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:34:59,443.39063469998655,formal_neutral,neutral,1,33,17,0.75,1.798800399992615,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:35:07,451.25502609999967,formal_neutral,neutral,1,34,18,0.75,2.6559151000110433,1,1,4,null
50,1440p_flscr,1,null,null,2025-03-27_19:35:20,464.24680279998574,formal_neutral,neutral,1,35,16,0.75,2.0578594999969937,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:35:30,474.1946651999897,formal_neutral,neutral,1,36,17,0.75,2.463242800004082,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:35:40,484.7707479999808,formal_neutral,neutral,1,37,18,0.75,2.349201900011394,0,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:35:50,494.73468839999987,formal_neutral,neutral,1,38,19,0.75,4.608506400021724,1,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:35:59,503.44751050000195,formal_neutral,neutral,1,39,19,0.75,3.903667599981418,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:37:17,581.845852599974,formal_neutral,neutral,1,40,20,0.75,7.400654600001872,1,1,6,null
50,1440p_flscr,1,null,null,2025-03-27_19:37:31,595.4497992999968,formal_neutral,neutral,1,41,21,0.75,3.3963140999840107,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:37:38,603.1012668999902,formal_neutral,neutral,1,42,20,0.75,2.3243186000036076,0,0,-4,null
50,1440p_flscr,1,null,null,2025-03-27_19:37:47,611.6522578999866,formal_neutral,neutral,1,43,21,0.75,2.5130742999899667,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:37:57,621.4009163999872,formal_neutral,neutral,1,44,22,0.75,2.227813100005733,1,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:38:04,628.5537033999863,formal_neutral,neutral,1,45,22,0.75,1.8017514000239316,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:38:15,639.8262185999774,formal_neutral,neutral,1,46,23,0.75,2.6453271999780554,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:38:26,650.6097053999838,formal_neutral,neutral,1,47,23,0.75,2.49324019998312,1,1,4,null
50,1440p_flscr,1,null,null,2025-03-27_19:38:35,659.6764387000003,formal_neutral,neutral,1,48,24,0.75,3.7750326999812387,1,1,6,null
50,1440p_flscr,1,null,null,2025-03-27_19:38:43,667.261927399988,formal_neutral,neutral,1,49,24,0.75,2.169287800003076,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:40:13,758.0984332999797,formal_punish_FA,punish_MS,2,0,0,0.75,6.80351480000536,0,0,-3,null
50,1440p_flscr,1,null,null,2025-03-27_19:40:22,766.1105817999924,formal_punish_FA,punish_MS,2,1,0,0.75,2.8037447999813594,1,1,4,null
