exp_num,disp_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
79,1440p_flscr,2,null,null,2025-03-28_16:57:10,435.66302310000174,formal_punish_FA,punish_FA,2,11,4,0.75,1.0781474000250455,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_16:57:18,443.95994539998355,formal_punish_FA,punish_FA,2,12,7,0.75,2.7996655000024475,1,1,1,null
79,1440p_flscr,2,null,null,2025-03-28_16:57:26,452.2007084999932,formal_punish_FA,punish_FA,2,13,5,0.75,1.6957462999853306,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_16:57:34,459.8438453999988,formal_punish_FA,punish_FA,2,14,6,0.75,2.088283199991565,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_16:57:43,468.4200581999903,formal_punish_FA,punish_FA,2,15,7,0.75,2.5288224999967497,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_16:57:51,476.8614594999817,formal_punish_FA,punish_FA,2,16,8,0.75,2.9017710000043735,1,0,-1,null
79,1440p_flscr,2,null,null,2025-03-28_16:57:59,484.81204709998565,formal_punish_FA,punish_FA,2,17,8,0.75,1.911092499998631,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_16:58:06,492.1873340999882,formal_punish_FA,punish_FA,2,18,9,0.75,1.1645235999894794,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_16:58:14,500.0792480999953,formal_punish_FA,punish_FA,2,19,9,0.75,2.3926313999982085,1,0,-1,null
79,1440p_flscr,2,null,null,2025-03-28_17:00:06,611.6926076999807,formal_punish_MS,punish_MS,3,0,0,0.75,4.511756699997932,0,0,-1,null
79,1440p_flscr,2,null,null,2025-03-28_17:00:13,619.3326106999884,formal_punish_MS,punish_MS,3,1,0,0.75,1.1711950000026263,1,1,2,null
79,1440p_flscr,2,null,null,2025-03-28_17:00:22,627.5168302999809,formal_punish_MS,punish_MS,3,2,1,0.75,2.7687808999908157,1,1,1,null
79,1440p_flscr,2,null,null,2025-03-28_17:00:31,637.2157705999853,formal_punish_MS,punish_MS,3,3,2,0.75,4.357241499994416,1,1,1,null
79,1440p_flscr,2,null,null,2025-03-28_17:00:39,644.4752035999845,formal_punish_MS,punish_MS,3,4,1,0.75,1.367062100005569,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_17:00:46,652.2620902000053,formal_punish_MS,punish_MS,3,5,2,0.75,2.305453699984355,0,0,-1,null
79,1440p_flscr,2,null,null,2025-03-28_17:00:54,660.0369088999869,formal_punish_MS,punish_MS,3,6,3,0.75,2.105959400010761,1,1,1,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:01,666.7413085000007,formal_punish_MS,punish_MS,3,7,3,0.75,1.017009400005918,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:09,674.623388499982,formal_punish_MS,punish_MS,3,8,4,0.75,2.543326699989848,1,0,-1,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:15,681.3825643000018,formal_punish_MS,punish_MS,3,9,5,0.75,1.071938900015084,1,0,-1,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:22,687.9403120999923,formal_punish_MS,punish_MS,3,10,4,0.75,1.067023599985987,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:29,695.2286784999887,formal_punish_MS,punish_MS,3,11,5,0.75,1.4446374000108335,0,0,-1,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:37,702.8751711999939,formal_punish_MS,punish_MS,3,12,6,0.75,2.1417761000047904,1,1,1,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:44,709.6699455000053,formal_punish_MS,punish_MS,3,13,7,0.75,1.5676310999842826,1,0,-1,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:50,716.3061645999842,formal_punish_MS,punish_MS,3,14,6,0.75,1.1290794999804348,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_17:01:59,724.786992999987,formal_punish_MS,punish_MS,3,15,8,0.75,3.3173353000020143,1,1,1,null
79,1440p_flscr,2,null,null,2025-03-28_17:02:06,732.1221030000015,formal_punish_MS,punish_MS,3,16,9,0.75,2.1712837999803014,1,1,1,null
79,1440p_flscr,2,null,null,2025-03-28_17:02:12,738.2964294999838,formal_punish_MS,punish_MS,3,17,7,0.75,0.8776195999816991,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_17:02:19,745.1560926999955,formal_punish_MS,punish_MS,3,18,8,0.75,0.8438112000003457,0,0,-2,null
79,1440p_flscr,2,null,null,2025-03-28_17:02:26,752.1153711999941,formal_punish_MS,punish_MS,3,19,9,0.75,1.3371708999911789,0,0,-1,null
