sys_time,exp_num,exp_cfg,gender_sub1,age_sub1,gender_sub2,age_sub2,exp_time,lable,sub_id,gs_id,score_total,score_a,score_b,notes
2024-04-16 13:48:09,345,1,Female,0,Female,0,2.104,rest_scan_stage1,0,-1,NULL,NULL,NULL,NULL
2024-04-16 13:48:12,345,1,Female,0,Female,0,5.237,intro_stage1,0,-1,NULL,NULL,NULL,NULL
2024-04-16 13:48:14,345,1,Female,0,Female,0,7.239,exersice,0,-1,NULL,NULL,NULL,NULL
2024-04-16 13:48:26,345,1,Female,0,Female,0,19.982,stage0_sub2_gs9,2,{9},-2,-1,-1,NULL
2024-04-16 13:48:30,345,1,Female,0,Female,0,23.128,stage0_sub2_gs3,2,{3},-2,-1,-1,NULL
2024-04-16 13:48:33,345,1,Female,0,Female,0,26.502,stage0_sub1_gs9,1,{9},-2,-1,-1,NULL
2024-04-16 13:48:39,345,1,Female,0,Female,0,32.438,stage0_sub1_gs3,1,{3},-2,-1,-1,NULL
2024-04-16 13:48:44,345,1,Female,0,Female,0,37.109,stage0_sub2_gs2,2,{2},-2,-1,-1,NULL
2024-04-16 13:48:54,345,1,Female,0,Female,0,47.763,stage0_sub1_gs2,1,{2},-2,-1,-1,NULL
2024-04-16 13:48:58,345,1,Female,0,Female,0,51.782,stage0_sub1_gs7,1,{7},-2,-1,-1,NULL
2024-04-16 13:49:02,345,1,Female,0,Female,0,55.762,stage0_sub1_gs8,1,{8},-2,-1,-1,NULL
2024-04-16 13:49:03,345,1,Female,0,Female,0,56.192,stage0_sub2_gs7,2,{7},-2,-1,-1,NULL
2024-04-16 13:49:05,345,1,Female,0,Female,0,58.292,stage0_sub1_gs1,1,{1},-2,-1,-1,NULL
2024-04-16 13:49:08,345,1,Female,0,Female,0,61.035,stage0_sub2_gs8,2,{8},-2,-1,-1,NULL
2024-04-16 13:49:08,345,1,Female,0,Female,0,61.966,stage0_sub1_gs4,1,{4},-2,-1,-1,NULL
2024-04-16 13:49:11,345,1,Female,0,Female,0,64.993,stage0_sub2_gs1,2,{1},-2,-1,-1,NULL
2024-04-16 13:49:12,345,1,Female,0,Female,0,65.924,stage0_sub1_gs0,1,{0},-2,-1,-1,NULL
2024-04-16 13:49:16,345,1,Female,0,Female,0,69.149,stage0_sub1_gs6,1,{6},-2,-1,-1,NULL
2024-04-16 13:49:16,345,1,Female,0,Female,0,69.993,stage0_sub2_gs4,2,{4},-2,-1,-1,NULL
2024-04-16 13:49:20,345,1,Female,0,Female,0,73.523,stage0_sub1_gs5,1,{5},-2,-1,-1,NULL
2024-04-16 13:49:24,345,1,Female,0,Female,0,77.322,stage0_sub2_gs0,2,{0},-2,-1,-1,NULL
