sys_time,exp_num,exp_cfg,gender_sub1,age_sub1,gender_sub2,age_sub2,exp_time,sub_id,lable,score_total,score_a,score_b,notes
2024-04-15 13:12:35,344,1,Female,0,Female,0,252.5269171000109,0,intro_stage2,NULL,NULL,NULL,NULL
2024-04-15 13:12:45,344,1,Female,0,Female,0,262.1544220999931,0,individual_learning_stage2,NULL,NULL,NULL,NULL
2024-04-15 13:12:49,344,1,Female,0,Female,0,266.0687515999889,0,cooperative_learning_stage2,NULL,NULL,NULL,NULL
2024-04-15 13:12:53,344,1,Female,0,Female,0,269.72735619999,0,test_stage2,NULL,NULL,NULL,NULL
2024-04-15 13:12:57,344,1,Female,0,Female,0,273.7821627999947,1,stage2_sub1_gs0,1,0,1,NULL
2024-04-15 13:13:00,344,1,Female,0,Female,0,277.1913260000001,1,stage2_sub1_gs7,0,0,0,NULL
2024-04-15 13:13:08,344,1,Female,0,Female,0,285.161866200011,1,stage2_sub1_gs6,0,0,0,NULL
2024-04-15 13:13:11,344,1,Female,0,Female,0,287.8423694999947,1,stage2_sub1_gs1,0,0,0,NULL
2024-04-15 13:13:12,344,1,Female,0,Female,0,288.99956500000553,2,stage2_sub2_gs0,1,0,1,NULL
2024-04-15 13:13:14,344,1,Female,0,Female,0,291.53644659998827,1,stage2_sub1_gs4,0,0,0,NULL
2024-04-15 13:13:17,344,1,Female,0,Female,0,294.4004524000047,1,stage2_sub1_gs9,0,0,0,NULL
2024-04-15 13:13:19,344,1,Female,0,Female,0,295.59380209998926,2,stage2_sub2_gs7,0,0,0,NULL
2024-04-15 13:13:22,344,1,Female,0,Female,0,298.94294290000107,1,stage2_sub1_gs3,0,0,0,NULL
2024-04-15 13:13:27,344,1,Female,0,Female,0,303.934560099995,1,stage2_sub1_gs5,0,0,0,NULL
2024-04-15 13:13:29,344,1,Female,0,Female,0,306.5423299999966,2,stage2_sub2_gs6,1,0,1,NULL
2024-04-15 13:13:32,344,1,Female,0,Female,0,308.7164439999906,1,stage2_sub1_gs11,0,0,0,NULL
2024-04-15 13:13:35,344,1,Female,0,Female,0,311.590423799993,2,stage2_sub2_gs1,2,1,1,NULL
2024-04-15 13:13:36,344,1,Female,0,Female,0,312.7102304,1,stage2_sub1_gs8,0,0,0,NULL
2024-04-15 13:13:39,344,1,Female,0,Female,0,315.6396922999993,1,stage2_sub1_gs2,0,0,0,NULL
2024-04-15 13:13:42,344,1,Female,0,Female,0,319.0412356000161,1,stage2_sub1_gs10,1,1,0,NULL
2024-04-15 13:13:44,344,1,Female,0,Female,0,320.89062620000914,2,stage2_sub2_gs4,0,0,0,NULL
2024-04-15 13:13:49,344,1,Female,0,Female,0,325.65349910000805,2,stage2_sub2_gs9,0,0,0,NULL
2024-04-15 13:13:56,344,1,Female,0,Female,0,333.2269811000151,2,stage2_sub2_gs3,1,1,0,NULL
2024-04-15 13:14:02,344,1,Female,0,Female,0,338.95804530000896,2,stage2_sub2_gs5,0,0,0,NULL
2024-04-15 13:14:08,344,1,Female,0,Female,0,345.0513515000057,2,stage2_sub2_gs11,1,1,0,NULL
2024-04-15 13:14:14,344,1,Female,0,Female,0,350.686635399994,2,stage2_sub2_gs8,0,0,0,NULL
2024-04-15 13:14:20,344,1,Female,0,Female,0,357.10543550000875,2,stage2_sub2_gs2,2,1,1,NULL
2024-04-15 13:14:27,344,1,Female,0,Female,0,364.2495529000007,2,stage2_sub2_gs10,1,1,0,NULL
2024-04-15 13:14:27,344,1,Female,0,Female,0,364.28456050000386,0,end,NULL,NULL,NULL,NULL
