exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
29,2160p_debug,1,null,null,2025-03-27_15:42:50,12.115951600018889,练习，s2 + n2,neutral,0,0,0,0.75,5.03966290000244,0,0,-5,null
29,2160p_debug,1,null,null,2025-03-27_15:42:59,21.807167999999365,练习，s2 + n2,neutral,0,1,0,0.75,3.532870399998501,1,1,6,null
29,2160p_debug,1,null,null,2025-03-27_15:43:16,38.53294190001907,正式 1，s4,neutral,1,0,0,0.75,3.2348674000240862,0,0,-5,null
29,2160p_debug,1,null,null,2025-03-27_15:43:26,48.04679340001894,正式 1，s4,neutral,1,1,0,0.75,3.743341400026111,1,1,5,null
29,2160p_debug,1,null,null,2025-03-27_15:43:34,56.32696920001763,正式 1，s4,neutral,1,2,1,0.75,2.6368139999976847,0,0,-3,null
29,2160p_debug,1,null,null,2025-03-27_15:43:43,65.94488220001222,正式 1，s4,neutral,1,3,2,0.75,3.57419439998921,0,0,-5,null
29,2160p_debug,1,null,null,2025-03-27_15:43:52,74.15359570001601,正式 1，s4,neutral,1,4,1,0.75,2.4336556999769527,1,1,4,null
29,2160p_debug,1,null,null,2025-03-27_15:44:01,83.05420430001686,正式 1，s4,neutral,1,5,2,0.75,3.1160854999907315,1,1,6,null
29,2160p_debug,1,null,null,2025-03-27_15:44:19,101.22751960001187,正式 2，n4,punish_MS,2,0,0,0.75,2.594843099999707,0,0,-4,null
29,2160p_debug,1,null,null,2025-03-27_15:44:31,113.19110520000686,正式 2，n4,punish_MS,2,1,0,0.75,5.430133999994723,1,0,-4,null
29,2160p_debug,1,null,null,2025-03-27_15:44:38,120.08311770000728,正式 2，n4,punish_MS,2,2,1,0.75,1.1417963999847416,1,1,1,null
29,2160p_debug,1,null,null,2025-03-27_15:44:49,131.1813123000029,正式 2，n4,punish_MS,2,3,1,0.75,4.840570600004867,0,0,-6,null
29,2160p_debug,1,null,null,2025-03-27_15:44:59,141.66667180001969,正式 2，n4,punish_MS,2,4,2,0.75,3.395709500007797,1,1,6,null
29,2160p_debug,1,null,null,2025-03-27_15:45:10,152.1525117000274,正式 2，n4,punish_MS,2,5,3,0.75,3.7949342999781948,1,1,3,null
29,2160p_debug,1,null,null,2025-03-27_15:45:32,174.32849510002416,正式 3，n4,punish_FA,3,0,0,0.75,4.322636099997908,0,0,-6,null
29,2160p_debug,1,null,null,2025-03-27_15:45:40,182.88166640000418,正式 3，n4,punish_FA,3,1,1,0.75,2.5639619000139646,0,1,3,null
29,2160p_debug,1,null,null,2025-03-27_15:45:50,192.88368060000357,正式 3，n4,punish_FA,3,2,2,0.75,2.129310699994676,0,0,-2,null
29,2160p_debug,1,null,null,2025-03-27_15:46:00,202.37538280000445,正式 3，n4,punish_FA,3,3,0,0.75,3.158771499991417,1,1,6,null
29,2160p_debug,1,null,null,2025-03-27_15:46:10,212.11529810001957,正式 3，n4,punish_FA,3,4,1,0.75,2.9436952999967616,1,0,-4,null
29,2160p_debug,1,null,null,2025-03-27_15:46:18,220.93827530002454,正式 3，n4,punish_FA,3,5,3,0.75,2.8110129999986384,0,0,-5,null
