exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,block_index,lure_mode,trail_index,stim_index,duration,sn,choice,confidence,note
12,1440p_debug,1,null,null,2025-03-26_19:40:44,13.604601200000616,练习，s2 + n2,neutral,0,0,0,1.0,5.20191530000011,0,0,-3,null
12,1440p_debug,1,null,null,2025-03-26_19:40:53,22.451787500001956,练习，s2 + n2,neutral,0,1,0,1.0,2.387099500003387,1,1,2,null
12,1440p_debug,1,null,null,2025-03-26_19:41:07,37.01388589999988,正式 1，s4,neutral,1,0,0,1.0,1.8715229999943404,1,1,3,null
12,1440p_debug,1,null,null,2025-03-26_19:41:16,45.19578330000513,正式 1，s4,neutral,1,1,1,1.0,1.842002200006391,1,0,-4,null
12,1440p_debug,1,null,null,2025-03-26_19:41:24,53.04282349999994,正式 1，s4,neutral,1,2,2,1.0,1.2950873000081629,1,1,1,null
12,1440p_debug,1,null,null,2025-03-26_19:41:31,60.74524289999681,正式 1，s4,neutral,1,3,3,1.0,1.168727600001148,1,0,-2,null
