exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
32,2160p_debug,1,null,null,2025-03-27_16:06:13,14.741752500005532,练习，s2 + n2,neutral,0,0,0,0.75,9.522486700006993,1,1,5,null
32,2160p_debug,1,null,null,2025-03-27_16:06:22,23.488871599984122,练习，s2 + n2,neutral,0,1,0,0.75,2.815166300017154,0,0,-4,null
32,2160p_debug,1,null,null,2025-03-27_16:06:38,39.388193499995396,正式 1，s4,neutral,1,0,0,0.75,3.2031217999756336,1,1,6,null
32,2160p_debug,1,null,null,2025-03-27_16:06:46,47.6876454000012,正式 1，s4,neutral,1,1,0,0.75,2.4785553000110667,0,0,-4,null
32,2160p_debug,1,null,null,2025-03-27_16:06:53,54.72867019998375,正式 1，s4,neutral,1,2,1,0.75,1.4888569999893662,0,0,-1,null
32,2160p_debug,1,null,null,2025-03-27_16:07:05,66.07566729999962,正式 1，s4,neutral,1,3,1,0.75,5.067658800020581,1,0,-6,null
32,2160p_debug,1,null,null,2025-03-27_16:07:14,75.24637459998485,正式 1，s4,neutral,1,4,2,0.75,2.94573720000335,0,0,-6,null
32,2160p_debug,1,null,null,2025-03-27_16:07:21,82.61089300000458,正式 1，s4,neutral,1,5,2,0.75,1.5234203999862075,1,1,1,null
32,2160p_debug,1,null,null,2025-03-27_16:07:38,98.93040290000499,正式 2，n4,punish_MS,2,0,0,0.75,2.6490565999993123,1,1,6,null
32,2160p_debug,1,null,null,2025-03-27_16:07:47,108.13583029998699,正式 2，n4,punish_MS,2,1,1,0.75,3.6750911000126507,1,0,-3,null
32,2160p_debug,1,null,null,2025-03-27_16:07:55,116.79500559999724,正式 2，n4,punish_MS,2,2,0,0.75,2.866353399993386,0,0,-6,null
32,2160p_debug,1,null,null,2025-03-27_16:08:02,123.8293951000087,正式 2，n4,punish_MS,2,3,1,0.75,1.4134632999775931,0,0,-2,null
