exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,block_index,lure_mode,trail_index,stim_index,duration,sn,choice,confidence,note
17,1440p_debug,2,null,null,2025-03-26_20:08:45,12.500749500002712,练习，s2 + n2,neutral,0,0,0,0.75,5.02700050000567,0,0,-5,null
17,1440p_debug,2,null,null,2025-03-26_20:08:53,20.7182221999974,练习，s2 + n2,neutral,0,1,0,0.75,1.805243299997528,1,1,3,null
17,1440p_debug,2,null,null,2025-03-26_20:09:12,39.83161860000109,正式 1，s4,neutral,1,0,0,0.75,1.780872500006808,1,0,-4,null
17,1440p_debug,2,null,null,2025-03-26_20:09:21,48.62485819999711,正式 1，s4,neutral,1,1,1,0.75,1.811227800004417,1,0,-4,null
17,1440p_debug,2,null,null,2025-03-26_20:09:30,57.61197009999887,正式 1，s4,neutral,1,2,2,0.75,2.4415526000084355,1,1,4,null
17,1440p_debug,2,null,null,2025-03-26_20:09:38,65.59924310000497,正式 1，s4,neutral,1,3,3,0.75,1.87193059999845,1,0,-2,null
17,1440p_debug,2,null,null,2025-03-26_20:10:01,88.68199120000645,正式 2，n4,punish_FA,2,0,0,0.75,3.3188284000061685,0,0,-4,null
17,1440p_debug,2,null,null,2025-03-26_20:10:11,98.56004130000656,正式 2，n4,punish_FA,2,1,1,0.75,3.477863200008869,0,1,4,null
17,1440p_debug,2,null,null,2025-03-26_20:10:20,107.8197755000001,正式 2，n4,punish_FA,2,2,2,0.75,3.0111531000002287,0,0,-6,null
17,1440p_debug,2,null,null,2025-03-26_20:10:28,115.67370090000622,正式 2，n4,punish_FA,2,3,3,0.75,1.7325740000087535,0,0,-3,null
17,1440p_debug,2,null,null,2025-03-26_20:10:44,131.77547540000523,正式 3，n4,punish_MS,3,0,0,0.75,2.0416104000032647,1,1,5,null
17,1440p_debug,2,null,null,2025-03-26_20:10:52,139.66541519999737,正式 3，n4,punish_MS,3,1,0,0.75,1.7504680999991251,0,0,-3,null
17,1440p_debug,2,null,null,2025-03-26_20:11:01,148.28879950000555,正式 3，n4,punish_MS,3,2,1,0.75,2.5927522999991197,0,0,-2,null
17,1440p_debug,2,null,null,2025-03-26_20:11:09,156.9185559000034,正式 3，n4,punish_MS,3,3,1,0.75,2.3747627999982797,1,1,6,null
17,1440p_debug,2,null,null,2025-03-26_20:11:19,166.1178013000026,正式 3，n4,punish_MS,3,4,2,0.75,1.8900084999913815,1,1,5,null
17,1440p_debug,2,null,null,2025-03-26_20:11:28,175.56527700000152,正式 3，n4,punish_MS,3,5,3,0.75,3.2896710999921197,1,0,-6,null
17,1440p_debug,2,null,null,2025-03-26_20:11:36,183.51030180000816,正式 3，n4,punish_MS,3,6,2,0.75,1.9143713999947067,0,0,-5,null
17,1440p_debug,2,null,null,2025-03-26_20:11:44,191.23675399999775,正式 3，n4,punish_MS,3,7,3,0.75,1.350505800000974,0,0,-3,null
