exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,block_index,lure_mode,trail_index,stim_index,duration,sn,choice,confidence,note
16,1440p_debug,1,null,null,2025-03-26_19:57:08,18.342629799997667,练习，s2 + n2,neutral,0,0,0,1.0,8.360843699992984,0,0,-3,null
16,1440p_debug,1,null,null,2025-03-26_19:57:16,26.19646659999853,练习，s2 + n2,neutral,0,1,0,1.0,1.4536177999980282,1,0,-3,null
16,1440p_debug,1,null,null,2025-03-26_19:57:30,40.152860899994266,正式 1，s4,neutral,1,0,0,1.0,1.7444625000061933,1,1,3,null
16,1440p_debug,1,null,null,2025-03-26_19:57:47,57.13330079999287,正式 1，s4,neutral,1,1,1,1.0,10.325558500000625,1,1,4,null
16,1440p_debug,1,null,null,2025-03-26_19:57:55,65.33851449999202,正式 1，s4,neutral,1,2,2,1.0,1.920058899995638,1,0,-3,null
16,1440p_debug,1,null,null,2025-03-26_19:58:04,73.87710539999534,正式 1，s4,neutral,1,3,3,1.0,1.9382552000024589,1,0,-5,null
16,1440p_debug,1,null,null,2025-03-26_19:58:22,92.1908332999883,正式 2，n4,punish_MS,2,0,0,1.0,2.0158496999938507,0,0,-6,null
16,1440p_debug,1,null,null,2025-03-26_19:58:30,100.26913839999179,正式 2，n4,punish_MS,2,1,1,1.0,1.6780174000014085,0,0,-3,null
16,1440p_debug,1,null,null,2025-03-26_19:58:40,109.67413020000095,正式 2，n4,punish_MS,2,2,2,1.0,2.8594503000058467,0,0,-4,null
16,1440p_debug,1,null,null,2025-03-26_19:58:48,117.7827232999989,正式 2，n4,punish_MS,2,3,3,1.0,1.7022623999946518,0,1,4,null
16,1440p_debug,1,null,null,2025-03-26_19:59:07,137.1022748999967,正式 3，n4,punish_FA,3,0,0,1.0,2.0173636999970768,1,1,4,null
16,1440p_debug,1,null,null,2025-03-26_19:59:16,145.82265989998996,正式 3，n4,punish_FA,3,1,1,1.0,2.1747990000003483,1,1,3,null
16,1440p_debug,1,null,null,2025-03-26_19:59:28,157.41546689999814,正式 3，n4,punish_FA,3,2,0,1.0,5.089510899997549,0,1,3,null
16,1440p_debug,1,null,null,2025-03-26_19:59:36,165.42708889998903,正式 3，n4,punish_FA,3,3,1,1.0,1.3566031000082148,0,1,2,null
16,1440p_debug,1,null,null,2025-03-26_19:59:44,174.34756569999445,正式 3，n4,punish_FA,3,4,2,1.0,2.247683400011738,0,0,-5,null
16,1440p_debug,1,null,null,2025-03-26_19:59:53,183.15860129999055,正式 3，n4,punish_FA,3,5,2,1.0,1.6413242000126047,1,1,2,null
16,1440p_debug,1,null,null,2025-03-26_20:00:03,192.87314679998963,正式 3，n4,punish_FA,3,6,3,1.0,2.06574879999971,1,0,-5,null
16,1440p_debug,1,null,null,2025-03-26_20:00:10,200.1452791999909,正式 3，n4,punish_FA,3,7,3,1.0,0.9991449000081047,0,0,-2,null
