exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
47,2160p_debug,1,null,null,2025-03-27_17:46:28,10.551679299998796,练习，s2 + n2,neutral,0,0,0,0.75,4.668152900005225,0,0,-4,null
47,2160p_debug,1,null,null,2025-03-27_17:46:37,19.59271880000597,练习，s2 + n2,neutral,0,1,0,0.75,3.344439999986207,1,1,3,null
47,2160p_debug,1,null,null,2025-03-27_17:46:54,36.67243000000599,正式 1，s4,neutral,1,0,0,0.75,2.6882220999978017,1,1,3,null
47,2160p_debug,1,null,null,2025-03-27_17:47:04,46.032908599998336,正式 1，s4,neutral,1,1,0,0.75,3.4494396000227425,0,0,-6,null
47,2160p_debug,1,null,null,2025-03-27_17:47:11,53.58550039998954,正式 1，s4,neutral,1,2,1,0.75,2.34022250000271,1,0,-3,null
47,2160p_debug,1,null,null,2025-03-27_17:47:20,62.64429430000018,正式 1，s4,neutral,1,3,2,0.75,3.393516699987231,1,1,4,null
47,2160p_debug,1,null,null,2025-03-27_17:47:29,71.4572741999873,正式 1，s4,neutral,1,4,1,0.75,3.194580900017172,0,0,-6,null
47,2160p_debug,1,null,null,2025-03-27_17:47:36,78.4862329000025,正式 1，s4,neutral,1,5,2,0.75,1.4868633000005502,0,0,-2,null
47,2160p_debug,1,null,null,2025-03-27_17:47:51,93.285086399992,正式 2，n4,punish_MS,2,0,0,0.75,3.098037799994927,1,1,5,null
47,2160p_debug,1,null,null,2025-03-27_17:48:03,104.92740789998788,正式 2，n4,punish_MS,2,1,0,0.75,4.29236399999354,0,0,-5,null
47,2160p_debug,1,null,null,2025-03-27_17:48:12,114.24337719997857,正式 2，n4,punish_MS,2,2,1,0.75,2.8904439999896567,1,1,3,null
47,2160p_debug,1,null,null,2025-03-27_17:48:21,122.98448610000196,正式 2，n4,punish_MS,2,3,2,0.75,3.082211200002348,1,0,-4,null
47,2160p_debug,1,null,null,2025-03-27_17:48:30,132.41606119999778,正式 2，n4,punish_MS,2,4,3,0.75,3.5583879000041634,1,0,-5,null
47,2160p_debug,1,null,null,2025-03-27_17:48:38,140.5959985999798,正式 2，n4,punish_MS,2,5,1,0.75,2.6576894000172615,0,0,-6,null
47,2160p_debug,1,null,null,2025-03-27_17:48:57,158.9232587000006,正式 3，n4,punish_FA,3,0,0,0.75,2.1927327000012156,1,1,2,null
47,2160p_debug,1,null,null,2025-03-27_17:49:06,168.6072870999924,正式 3，n4,punish_FA,3,1,0,0.75,3.545958899980178,0,0,-6,null
47,2160p_debug,1,null,null,2025-03-27_17:49:14,176.72548059999826,正式 3，n4,punish_FA,3,2,1,0.75,2.8457485000253655,0,0,-4,null
47,2160p_debug,1,null,null,2025-03-27_17:49:22,184.03353980000247,正式 3，n4,punish_FA,3,3,2,0.75,1.692332600010559,0,0,-2,null
47,2160p_debug,1,null,null,2025-03-27_17:49:31,193.09798799999407,正式 3，n4,punish_FA,3,4,1,0.75,2.8826645000081044,1,0,-6,null
47,2160p_debug,1,null,null,2025-03-27_17:49:39,201.27684639999643,正式 3，n4,punish_FA,3,5,3,0.75,2.612061799998628,0,0,-6,null
