exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
3,1440p_flscr,1,1,1,2024-11-23_11:20:22,1308.7248746000696,trial_PGG,0,0,18.069,10,0.75,5,5,None
3,1440p_flscr,1,1,1,2024-11-23_11:22:13,1420.5828271000646,trial_PGG,1,0,33.013,10,0.75,5,9,None
3,1440p_flscr,1,1,1,2024-11-23_11:22:40,1447.312304400024,trial_PGG,1,1,16.657,10,0.75,9,5,None
3,1440p_flscr,1,1,1,2024-11-23_11:23:04,1471.3668961999938,trial_PGG,1,2,13.989,10,0.75,6,8,None
3,1440p_flscr,1,1,1,2024-11-23_11:23:25,1492.3154067000141,trial_PGG,1,3,10.863,10,0.75,8,7,None
3,1440p_flscr,1,1,1,2024-11-23_11:23:45,1512.2087766000768,trial_PGG,1,4,9.830,10,0.75,8,7,None
3,1440p_flscr,1,1,1,2024-11-23_11:24:03,1529.7028556000441,trial_PGG,1,5,7.431,10,0.75,8,8,None
3,1440p_flscr,1,1,1,2024-11-23_11:24:20,1547.2194961000932,trial_PGG,1,6,7.442,10,0.75,8,8,None
3,1440p_flscr,1,1,1,2024-11-23_11:24:37,1563.7145481000189,trial_PGG,1,7,6.433,10,0.75,8,8,None
3,1440p_flscr,1,1,1,2024-11-23_11:24:54,1580.890201500035,trial_PGG,1,8,7.106,10,0.75,8,8,None
3,1440p_flscr,1,1,1,2024-11-23_11:25:08,1595.1341130000073,trial_PGG,1,9,4.180,10,0.75,8,8,None
3,1440p_flscr,1,1,1,2024-11-23_11:25:25,1612.1152521000477,trial_PGG,1,10,6.920,10,0.75,8,8,None
3,1440p_flscr,1,1,1,2024-11-23_11:25:40,1627.5054861999815,trial_PGG,1,11,5.327,10,0.75,8,8,None
