exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
12,1440p_flscr,2,1,1,2024-11-24_13:35:42,1717.6498818000546,trial_PGG,0,0,27.699,10,0.75,5,5,None
12,1440p_flscr,2,1,1,2024-11-24_13:41:51,2086.0742926000385,trial_PGG,1,0,231.748,10,0.75,10,5,None
12,1440p_flscr,2,1,1,2024-11-24_13:45:43,2318.4830485000275,trial_PGG,1,1,222.336,10,0.75,5,5,None
12,1440p_flscr,2,1,1,2024-11-24_13:46:56,2391.6258506999584,trial_PGG,1,2,63.064,10,0.75,5,10,None
12,1440p_flscr,2,1,1,2024-11-24_13:48:01,2455.812998199952,trial_PGG,1,3,54.116,10,0.75,10,5,None
12,1440p_flscr,2,1,1,2024-11-24_13:50:12,2586.8755366000114,trial_PGG,1,4,120.999,10,0.75,10,10,None
12,1440p_flscr,2,1,1,2024-11-24_13:50:39,2614.6892065999564,trial_PGG,1,5,17.746,10,0.75,10,10,None
12,1440p_flscr,2,1,1,2024-11-24_13:51:07,2641.9881098000333,trial_PGG,1,6,17.232,10,0.75,10,10,None
12,1440p_flscr,2,1,1,2024-11-24_13:51:31,2666.104790000012,trial_PGG,1,7,14.044,10,0.75,10,10,None
12,1440p_flscr,2,1,1,2024-11-24_13:52:07,2702.6175135000376,trial_PGG,1,8,26.451,10,0.75,10,10,None
12,1440p_flscr,2,1,1,2024-11-24_13:52:29,2724.177662299946,trial_PGG,1,9,11.495,10,0.75,10,10,None
12,1440p_flscr,2,1,1,2024-11-24_13:52:49,2744.354790400015,trial_PGG,1,10,10.113,10,0.75,10,10,None
12,1440p_flscr,2,1,1,2024-11-24_13:53:16,2771.6330228999723,trial_PGG,1,11,17.213,10,0.75,10,10,None
