exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
10,1440p_flscr,2,1,1,2024-11-24_10:21:22,1252.5761247000191,trial_PGG,0,0,32.750,10,0.75,5,5,None
10,1440p_flscr,2,1,1,2024-11-24_10:23:34,1384.3685701000504,trial_PGG,1,0,31.860,10,0.75,10,5,None
10,1440p_flscr,2,1,1,2024-11-24_10:24:00,1410.980063199997,trial_PGG,1,1,16.543,10,0.75,8,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:24:31,1441.6141180000268,trial_PGG,1,2,20.548,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:24:56,1467.1623729000567,trial_PGG,1,3,15.480,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:25:20,1490.827718500048,trial_PGG,1,4,13.597,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:25:45,1515.9045220999978,trial_PGG,1,5,15.013,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:26:09,1539.5412948000012,trial_PGG,1,6,13.571,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:26:35,1565.625347900088,trial_PGG,1,7,16.016,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:26:56,1586.5105519000208,trial_PGG,1,8,10.819,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:27:20,1610.558173700003,trial_PGG,1,9,13.980,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:27:45,1635.7318199999863,trial_PGG,1,10,15.108,10,0.75,10,10,None
10,1440p_flscr,2,1,1,2024-11-24_10:28:04,1654.66452640004,trial_PGG,1,11,8.867,10,0.75,10,10,None
