exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
13,1440p_flscr,1,1,1,2024-11-24_15:24:37,1459.6655296999961,trial_PGG,0,0,18.485,10,0.75,5,5,None
13,1440p_flscr,1,1,1,2024-11-24_15:26:29,1571.651118000038,trial_PGG,1,0,17.594,10,0.75,6,7,None
13,1440p_flscr,1,1,1,2024-11-24_15:27:01,1603.4363127000397,trial_PGG,1,1,21.702,10,0.75,6,7,None
13,1440p_flscr,1,1,1,2024-11-24_15:27:27,1629.5751626000274,trial_PGG,1,2,16.072,10,0.75,7,7,None
13,1440p_flscr,1,1,1,2024-11-24_15:27:56,1657.7013860000297,trial_PGG,1,3,18.047,10,0.75,8,7,None
13,1440p_flscr,1,1,1,2024-11-24_15:28:18,1680.130042899982,trial_PGG,1,4,12.357,10,0.75,8,8,None
13,1440p_flscr,1,1,1,2024-11-24_15:28:39,1701.5440937000094,trial_PGG,1,5,11.348,10,0.75,9,8,None
13,1440p_flscr,1,1,1,2024-11-24_15:28:58,1720.4567626999924,trial_PGG,1,6,8.845,10,0.75,8,9,None
13,1440p_flscr,1,1,1,2024-11-24_15:29:22,1743.6980679000262,trial_PGG,1,7,13.177,10,0.75,8,8,None
13,1440p_flscr,1,1,1,2024-11-24_15:29:43,1765.0845878000837,trial_PGG,1,8,11.323,10,0.75,8,8,None
13,1440p_flscr,1,1,1,2024-11-24_15:30:05,1787.4160460000858,trial_PGG,1,9,12.269,10,0.75,8,8,None
13,1440p_flscr,1,1,1,2024-11-24_15:30:24,1806.1063231000444,trial_PGG,1,10,8.626,10,0.75,8,8,None
13,1440p_flscr,1,1,1,2024-11-24_15:30:41,1822.8515338000143,trial_PGG,1,11,6.683,10,0.75,8,8,None
