exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
6,1440p_flscr,2,1,1,2024-11-23_15:24:08,1670.7014773000265,trial_PGG,0,0,53.934,10,0.75,5,5,None
6,1440p_flscr,2,1,1,2024-11-23_15:26:57,1839.785099599976,trial_PGG,1,0,37.146,10,0.75,3,9,None
6,1440p_flscr,2,1,1,2024-11-23_15:27:36,1878.6385660999222,trial_PGG,1,1,28.768,10,0.75,4,9,None
6,1440p_flscr,2,1,1,2024-11-23_15:28:22,1925.1288243000163,trial_PGG,1,2,36.416,10,0.75,6,4,None
6,1440p_flscr,2,1,1,2024-11-23_15:29:01,1963.6835803999566,trial_PGG,1,3,28.491,10,0.75,5,4,None
6,1440p_flscr,2,1,1,2024-11-23_15:29:32,1995.2562749999342,trial_PGG,1,4,21.504,10,0.75,0,8,None
6,1440p_flscr,2,1,1,2024-11-23_15:30:01,2023.514521199977,trial_PGG,1,5,18.188,10,0.75,5,8,None
6,1440p_flscr,2,1,1,2024-11-23_15:30:44,2066.7245110999793,trial_PGG,1,6,33.147,10,0.75,5,7,None
6,1440p_flscr,2,1,1,2024-11-23_15:31:22,2104.6549292999553,trial_PGG,1,7,27.865,10,0.75,6,7,None
6,1440p_flscr,2,1,1,2024-11-23_15:31:56,2139.200839899946,trial_PGG,1,8,24.480,10,0.75,5,7,None
6,1440p_flscr,2,1,1,2024-11-23_15:32:18,2160.6774714000057,trial_PGG,1,9,11.411,10,0.75,6,7,None
6,1440p_flscr,2,1,1,2024-11-23_15:32:43,2186.448206100031,trial_PGG,1,10,15.703,10,0.75,5,7,None
6,1440p_flscr,2,1,1,2024-11-23_15:33:07,2210.183067500009,trial_PGG,1,11,13.672,10,0.75,10,7,None
