exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
19,1440p_flscr,1,1,1,2024-11-25_13:22:08,1172.6872739000246,trial_PGG,0,0,10.332,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:23:40,1265.0284269999247,trial_PGG,1,0,9.545,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:24:01,1286.2552753000055,trial_PGG,1,1,11.162,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:24:20,1304.9320733998902,trial_PGG,1,2,8.609,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:24:37,1321.836531799985,trial_PGG,1,3,6.835,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:24:54,1339.4153416999616,trial_PGG,1,4,7.517,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:25:13,1357.8085719000082,trial_PGG,1,5,8.322,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:25:30,1375.0459861999843,trial_PGG,1,6,7.176,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:25:47,1392.0748250999022,trial_PGG,1,7,6.959,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:26:04,1408.924376500072,trial_PGG,1,8,6.786,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:26:22,1426.6904746000655,trial_PGG,1,9,7.700,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:26:41,1445.5897206000518,trial_PGG,1,10,8.834,10,0.75,5,5,None
19,1440p_flscr,1,1,1,2024-11-25_13:26:57,1462.272218799917,trial_PGG,1,11,6.616,10,0.75,5,5,None
