exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
23,1440p_flscr,1,1,1,2024-11-25_17:24:55,1329.2097031001467,trial_PGG,0,0,30.906,10,0.75,5,5,None
23,1440p_flscr,1,1,1,2024-11-25_17:26:53,1447.4247219001409,trial_PGG,1,0,32.796,10,0.75,5,9,None
23,1440p_flscr,1,1,1,2024-11-25_17:27:49,1503.058563100174,trial_PGG,1,1,45.562,10,0.75,7,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:28:15,1529.4120480001438,trial_PGG,1,2,16.267,10,0.75,7,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:28:46,1560.4846663000062,trial_PGG,1,3,21.010,10,0.75,6,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:29:19,1593.3488096001092,trial_PGG,1,4,22.799,10,0.75,7,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:29:38,1612.5258784999605,trial_PGG,1,5,9.110,10,0.75,6,7,None
23,1440p_flscr,1,1,1,2024-11-25_17:30:00,1633.8149658001494,trial_PGG,1,6,11.224,10,0.75,6,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:30:22,1655.8771834999789,trial_PGG,1,7,11.997,10,0.75,6,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:30:43,1676.6916650000494,trial_PGG,1,8,10.750,10,0.75,6,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:31:01,1694.8892034001183,trial_PGG,1,9,8.131,10,0.75,6,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:31:20,1713.6631181000266,trial_PGG,1,10,8.710,10,0.75,6,6,None
23,1440p_flscr,1,1,1,2024-11-25_17:31:52,1746.055150500033,trial_PGG,1,11,22.328,10,0.75,6,6,None
