exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
22,1440p_flscr,2,1,1,2024-11-25_16:23:35,1358.1542052000295,trial_PGG,0,0,30.218,10,0.75,5,5,None
22,1440p_flscr,2,1,1,2024-11-25_16:26:08,1510.9235883001238,trial_PGG,1,0,67.989,10,0.75,4,6,None
22,1440p_flscr,2,1,1,2024-11-25_16:26:34,1537.2003091000952,trial_PGG,1,1,16.194,10,0.75,6,7,None
22,1440p_flscr,2,1,1,2024-11-25_16:27:02,1565.6123438000213,trial_PGG,1,2,18.350,10,0.75,10,7,None
22,1440p_flscr,2,1,1,2024-11-25_16:27:24,1587.006148800021,trial_PGG,1,3,11.327,10,0.75,10,8,None
22,1440p_flscr,2,1,1,2024-11-25_16:27:48,1610.9621091000736,trial_PGG,1,4,13.886,10,0.75,8,10,None
22,1440p_flscr,2,1,1,2024-11-25_16:28:21,1643.9452454999555,trial_PGG,1,5,22.910,10,0.75,10,10,None
22,1440p_flscr,2,1,1,2024-11-25_16:28:50,1673.5230785000604,trial_PGG,1,6,19.514,10,0.75,10,10,None
22,1440p_flscr,2,1,1,2024-11-25_16:29:09,1692.186000799993,trial_PGG,1,7,8.600,10,0.75,10,10,None
22,1440p_flscr,2,1,1,2024-11-25_16:29:31,1714.3994056000374,trial_PGG,1,8,12.149,10,0.75,10,10,None
22,1440p_flscr,2,1,1,2024-11-25_16:29:49,1732.7354373000562,trial_PGG,1,9,8.273,10,0.75,10,10,None
22,1440p_flscr,2,1,1,2024-11-25_16:30:06,1749.5848443000577,trial_PGG,1,10,6.784,10,0.75,10,10,None
22,1440p_flscr,2,1,1,2024-11-25_16:30:27,1770.644341800129,trial_PGG,1,11,10.999,10,0.75,10,10,None
