exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
7,1440p_flscr,1,1,1,2024-11-23_16:17:43,1316.103272599983,trial_PGG,0,0,15.334,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:19:34,1426.5513188999612,trial_PGG,1,0,18.283,10,0.75,4,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:20:01,1453.9683154999511,trial_PGG,1,1,17.337,10,0.75,6,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:20:25,1477.6129869000288,trial_PGG,1,2,13.569,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:20:41,1493.9691336000105,trial_PGG,1,3,6.284,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:21:04,1517.4191328999586,trial_PGG,1,4,13.382,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:21:24,1536.8458951000357,trial_PGG,1,5,9.363,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:21:43,1555.5921559999697,trial_PGG,1,6,8.679,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:22:06,1578.9519510000246,trial_PGG,1,7,13.286,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:22:25,1598.0448149000295,trial_PGG,1,8,9.021,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:22:44,1617.4232683000155,trial_PGG,1,9,9.311,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:23:04,1637.1003302999306,trial_PGG,1,10,9.612,10,0.75,5,5,None
7,1440p_flscr,1,1,1,2024-11-23_16:23:21,1653.7553145999555,trial_PGG,1,11,6.591,10,0.75,5,5,None
