exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
17,1440p_flscr,1,1,1,2024-11-25_10:23:41,1253.4797233999707,trial_PGG,0,0,21.009,10,0.75,3,5,None
17,1440p_flscr,1,1,1,2024-11-25_10:26:26,1418.4842276999261,trial_PGG,1,0,30.343,10,0.75,8,7,None
17,1440p_flscr,1,1,1,2024-11-25_10:26:53,1445.8398523998912,trial_PGG,1,1,17.270,10,0.75,6,9,None
17,1440p_flscr,1,1,1,2024-11-25_10:27:20,1472.2205448998138,trial_PGG,1,2,16.303,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:27:47,1499.888143699849,trial_PGG,1,3,17.604,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:28:10,1522.1636909998488,trial_PGG,1,4,12.213,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:28:31,1543.225304099964,trial_PGG,1,5,10.992,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:28:47,1559.2671391998883,trial_PGG,1,6,5.977,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:29:11,1583.8636769999284,trial_PGG,1,7,14.529,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:29:33,1605.2358972998336,trial_PGG,1,8,11.305,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:29:49,1621.8908730000257,trial_PGG,1,9,6.591,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:30:10,1642.9574456999544,trial_PGG,1,10,11.002,10,0.75,8,8,None
17,1440p_flscr,1,1,1,2024-11-25_10:30:37,1669.666200199863,trial_PGG,1,11,16.643,10,0.75,8,9,None
