exp_num,mode,condition_A,condition_B,condition_C,sys_time,exp_time,process_name,STAGE_index,trial_index,duration,total_token,multiply,contribution_0,contribution_1,note
9,1440p_flscr,1,1,1,2024-11-24_09:21:47,1362.4603899999056,trial_PGG,0,0,13.101,10,0.75,5,5,None
9,1440p_flscr,1,1,1,2024-11-24_09:24:14,1509.2468965000007,trial_PGG,1,0,37.223,10,0.75,7,8,None
9,1440p_flscr,1,1,1,2024-11-24_09:24:43,1538.8131498999428,trial_PGG,1,1,19.480,10,0.75,7,8,None
9,1440p_flscr,1,1,1,2024-11-24_09:25:29,1585.1198643998941,trial_PGG,1,2,36.237,10,0.75,7,8,None
9,1440p_flscr,1,1,1,2024-11-24_09:25:57,1612.648949299939,trial_PGG,1,3,17.458,10,0.75,7,7,None
9,1440p_flscr,1,1,1,2024-11-24_09:26:20,1636.071171599906,trial_PGG,1,4,13.356,10,0.75,7,7,None
9,1440p_flscr,1,1,1,2024-11-24_09:26:41,1656.7904448999325,trial_PGG,1,5,10.655,10,0.75,7,7,None
9,1440p_flscr,1,1,1,2024-11-24_09:27:05,1680.6294193000067,trial_PGG,1,6,13.775,10,0.75,8,7,None
9,1440p_flscr,1,1,1,2024-11-24_09:27:25,1700.334394699894,trial_PGG,1,7,9.640,10,0.75,8,7,None
9,1440p_flscr,1,1,1,2024-11-24_09:27:46,1721.672186599928,trial_PGG,1,8,11.271,10,0.75,8,8,None
9,1440p_flscr,1,1,1,2024-11-24_09:28:05,1740.7099308999022,trial_PGG,1,9,8.971,10,0.75,8,8,None
9,1440p_flscr,1,1,1,2024-11-24_09:28:24,1759.942071700003,trial_PGG,1,10,9.167,10,0.75,8,8,None
9,1440p_flscr,1,1,1,2024-11-24_09:28:53,1788.2419501999393,trial_PGG,1,11,18.235,10,0.75,9,8,None
